runs,filename,Total Travel Time,Total Energy Consumed,Total Distance Covered,Run Time,Total Module Swapped
1,run_1.txt,91.82,13.052,63.51,569.957,0
2,run_2.txt,79.09,11.03,54.4,521.401,0
3,run_3.txt,89.0,12.109,60.01,519.807,0
4,run_4.txt,88.98,13.457,63.14,536.98,0
5,run_5.txt,90.7,13.389,63.77,527.892,0
6,run_6.txt,90.59,12.056,61.3,561.677,0
7,run_7.txt,91.05,13.377,63.63,542.62,0
8,run_8.txt,87.43,12.703,59.72,513.602,0
9,run_9.txt,99.29,13.404,68.3,569.725,0
10,run_10.txt,91.4,14.645,66.46,544.269,0
