Initial = 100; // Initial energy level at the depot
Eth = 20;	// Minimum energy level
Cswap = 50;	// Cost of swapping a module
Tswap = 2;	// Time to swap a battery module
M = 5;		// The total number of battery modules

S = 0;		// Sourse of EV
D = 12;		// Destination of EV
G = 10000;  // Large value

Nodes = 12;
Visits = 11;

Station =  [0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0];
Costumer = [0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0];

Adj = 	[
 [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
 [1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0],
 [1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1],
 [0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0],
 [0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0],
 [0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0],
 [0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0],
 [0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0],
 [0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0],
 [0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0],
 [0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0],
 [0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0],
 [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
];

Trav =	[
 [0.00, 11.67, 11.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00],
 [11.67, 0.00, 6.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13.84, 0.00],
 [11.67, 6.79, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10.06, 0.00, 0.00, 0.00, 11.67],
 [0.00, 0.00, 0.00, 0.00, 0.00, 8.23, 6.16, 5.97, 0.00, 9.41, 0.00, 4.96, 0.00],
 [0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8.72, 0.00, 7.58, 0.00, 14.31, 0.00, 0.00],
 [0.00, 0.00, 0.00, 8.23, 0.00, 0.00, 0.00, 0.00, 0.00, 10.36, 12.35, 8.28, 0.00],
 [0.00, 0.00, 0.00, 6.16, 8.72, 0.00, 0.00, 14.71, 9.54, 0.00, 0.00, 0.00, 0.00],
 [0.00, 0.00, 0.00, 5.97, 0.00, 0.00, 14.71, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00],
 [0.00, 0.00, 10.06, 0.00, 7.58, 0.00, 9.54, 0.00, 0.00, 0.00, 5.61, 0.00, 0.00],
 [0.00, 0.00, 0.00, 9.41, 0.00, 10.36, 0.00, 0.00, 0.00, 0.00, 10.04, 9.97, 0.00],
 [0.00, 0.00, 0.00, 0.00, 14.31, 12.35, 0.00, 0.00, 5.61, 10.04, 0.00, 8.95, 0.00],
 [0.00, 13.84, 0.00, 4.96, 0.00, 8.28, 0.00, 0.00, 0.00, 9.97, 8.95, 0.00, 0.00],
 [0.00, 0.00, 11.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]
];

Edep =	[
 [0.00, 0.67, 0.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00],
 [0.67, 0.00, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.78, 0.00],
 [0.67, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.68, 0.00, 0.00, 0.00, 0.67],
 [0.00, 0.00, 0.00, 0.00, 0.00, 1.81, 0.47, 0.57, 0.00, 0.64, 0.00, 0.42, 0.00],
