Examples,Total Travel Time,Total Energy Consumed,Total Distance Covered,Number of Modules Swapped,Runtime
example 1,2458.99,839.416,1907.68,39,43951.218
example 2,2589.42,882.241,2008.45,42,27727.498
example 3,2602.77,874.083,2032.62,40,33314.901
example 4,2617.96,889.019,2035.39,41,38204.725
example 5,2588.77,878.815,2003.36,42,52292.584
example 6,2487.63,839.35,1939.63,40,39021.288
example 7,2675.39,910.63,2078.91,44,39923.855
example 8,2655.19,891.785,2068.5,43,32731.509
example 9,2720.19,913.766,2114.0,44,28171.828
example 10,2630.97,922.75,2031.33,43,42674.667
