Examples,Total Travel Time,Total Energy Consumed,Total Distance Covered,Number of Modules Swapped,Runtime
example 1,1872.05,442.152,1473.41,21,4944.527
example 2,1951.56,461.042,1533.62,21,5492.296
example 3,1816.3,426.494,1431.77,19,7728.064
example 4,1932.58,477.611,1521.15,21,7131.084
example 5,1921.47,439.002,1503.3,20,11376.326
example 6,1872.76,417.622,1461.55,18,9981.715
example 7,1836.84,434.026,1422.93,20,16468.087
example 8,1906.23,441.323,1481.61,19,4721.697
example 9,1816.76,443.733,1428.16,20,4300.759
example 10,1895.7,441.987,1488.96,19,5413.455
